Email;Address;Avatar;Avg. Session Length;Time on App;Time on Website;Length of Membership;Yearly Amount Spent
mstephenson@fernandez.com;835 Frank Tunnel;;;;;;
Wrightmouth;" MI 82180-9605""";Violet;3.449.726.772.511.220;12.655.651.149.166.700;3.957.766.801.952.610;4.082.620.632.952.960;5.879.510.539.684.000
hduke@hotmail.com;4547 Archer Common;;;;;;
Diazchester;" CA 06566-8576""";DarkGreen;31.926.272.026.360.100;11.109.460.728.682.500;37.268.958.868.297.700;266.403.418.213.262;3.922.049.334.443.260
pallen@yahoo.com;24645 Valerie Unions Suite 582;;;;;;
Cobbborough;" DC 99414-7564""";Bisque;33.000.914.755.642.600;11.330.278.057.777.500;3.711.059.744.212.080;4.104.543.202.376.420;48.754.750.486.747.200
riverarebecca@gmail.com;1414 David Throughway;;;;;;
Port Jason;" OH 22070-1220""";SaddleBrown;3.430.555.662.975.550;13.717.513.665.142.500;3.672.128.267.790.310;31.201.787.827.480.900;5.818.523.440.352.170
mstephens@davidson-herman.com;14023 Rodriguez Passage;;;;;;
Port Jacobville;" PR 37242-1057""";MediumAquaMarine;3.333.067.252.364.630;12.795.188.551.078.100;3.753.665.330.059.470;4.446.308.318.351.430;5.994.060.920.457.630
alvareznancy@lucas.biz;645 Martha Park Apt. 611;;;;;;
Jeffreychester;" MN 67218-7250""";FloralWhite;3.387.103.787.934.190;12.026.925.339.755.000;3.447.687.762.925.050;5.493.507.201.364.190;637.102.447.915.074
katherine20@yahoo.com;68388 Reyes Lights Suite 692;;;;;;
Josephbury;" WV 92213-0247""";DarkSlateBlue;3.202.159.550.138.700;11.366.348.309.710.500;36.683.776.152.869.600;46.850.172.465.709.100;5.215.721.747.578.270
awatkins@yahoo.com;Unit 6538 Box 8980;;;;;;
"DPO AP 09026-4941""";Aqua;32.739.142.938.380.300;1.235.195.897.300.290;37.373.358.858.547.500;44.342.734.348.999.300;5.499.041.461.052.940;
vchurch@walter-martinez.com;860 Lee Key;;;;;;
West Debra;" SD 97450-0495""";Salmon;3.398.777.289.568.560;13.386.235.275.676.400;37.534.497.341.555.700;32.734.335.777.477.100;5.702.004.089.636.190
bonnie69@lin.biz;PSC 2734, Box 5255;;;;;;
"APO AA 98456-7482""";Brown;31.936.548.618.448.900;11.814.128.294.972.100;3.714.516.822.352.810;3.202.806.071.553.450;42.719.938.489.532.800;
andrew06@peterson.com;26104 Alexander Groves;;;;;;
Alexandriaport;" WY 28244-9149""";Tomato;3.399.257.277.495.370;13.338.975.447.662.100;3.722.580.613.162.110;24.826.077.705.105.900;4.926.060.127.179.960
ryanwerner@freeman.biz;Unit 2413 Box 0347;;;;;;
"DPO AA 07580-2652""";Tomato;3.387.936.082.480.490;11.584.782.999.535.200;37.087.926.070.983.800;371.320.920.294.043;5.223.374.046.069.350;
knelson@gmail.com;6705 Miller Orchard Suite 186;;;;;;
Lake Shanestad;" MO 75696-5051""";RoyalBlue;29.532.428.967.057.900;10.961.298.400.154.000;3.742.021.557.502.530;4.046.423.164.299.580;40.864.035.107.262.700
wrightpeter@yahoo.com;05302 Dunlap Ferry;;;;;;
New Stephaniehaven;" MP 42268""";Bisque;3.319.033.404.372.260;12.959.226.091.609.300;36.144.666.700.041.900;39.185.418.391.589.900;5.734.158.673.313.860
taylormason@gmail.com;7773 Powell Springs Suite 190;;;;;;
Samanthaland;" ND 44358""";DarkBlue;3.238.797.585.315.380;13.148.725.692.056.500;3.661.995.708.279.920;2.494.543.646.659.240;47.045.273.330.095.500
jstark@anderson.com;49558 Ramirez Road Suite 399;;;;;;
Phillipstad;" OH 35641-3238""";Peru;30.737.720.372.628.100;12.636.606.052.000.100;36.213.763.093.698.600;3.357.846.842.326.290;4.617.807.421.962.290
wjennings@gmail.com;6362 Wilson Mountain;;;;;;
Johnsonfurt;" GA 15169""";PowderBlue;3.212.538.689.728.780;11.733.861.690.857.300;348.940.927.514.398;31.361.327.164.897.800;45.784.769.594.494.800
rebecca45@hale-bauer.biz;8982 Burton Row;;;;;;
Wilsonton;" PW 88606""";OliveDrab;3.233.889.932.306.710;120.131.946.940.144;3.838.513.659.413.840;2.420.806.160.901.480;4.077.045.475.495.440
alejandro75@hotmail.com;64475 Andre Club Apt. 795;;;;;;
Port Dannytown;" PW 63227""";Cyan;32.187.812.045.932.100;14.715.387.544.156.500;38.244.114.594.343.500;15.165.755.808.319.400;45.231.567.548.003.500
samuel46@love-west.net;544 Alexander Heights Suite 768;;;;;;
North Johnview;" MT 57912""";LightSeaGreen;3.261.785.606.282.340;13.989.592.555.825.200;37.190.503.800.397.900;4.064.548.550.437.970;605.061.038.804.892
megan33@gmail.com;84426 Julia Vista;;;;;;
North Teresa;" KY 50756""";PeachPuff;3.291.278.511.115.970;11.365.492.025.516.100;3.760.779.252.420.690;4.599.937.357.614.990;5.347.057.438.060.220
agolden@yahoo.com;PSC 2490, Box 2120;;;;;;
"APO AE 15445-2876""";Black;3.350.308.725.671.970;1.287.798.369.625.630;3.744.102.133.556.600;1.559.151.939.957.070;4.199.387.748.391.790;
vstafford@hotmail.com;PSC 5723, Box 8159;;;;;;
"APO AA 74738""";Olive;31.531.604.482.572.900;13.378.562.784.168.900;38.734.006.289.897.100;22.451.477.874.052.800;43.651.560.572.936.200;
denise22@hernandez-townsend.com;USNS Cardenas;;;;;;
"FPO AA 85439-9449""";Silver;32.903.250.973.372.000;11.657.575.922.065.500;3.677.260.376.125.870;39.193.023.085.531.800;5.193.409.891.307.880;
youngbarbara@yahoo.com;019 Elliott Tunnel Suite 190;;;;;;
Nicholsbury;" WV 60804-4440""";Wheat;3.450.755.099.852.660;12.893.669.504.071.700;3.763.575.587.790.590;5.705.153.970.601.020;7.009.170.916.173.960
william25@mcconnell.com;9495 Mary Fall Apt. 777;;;;;;
Glassport;" ND 17957-5596""";Teal;3.302.933.195.350.680;11.765.812.645.482.300;37.738.524.945.579.000;27.217.359.920.452.100;42.317.999.168.059.700
ijones@schaefer-carr.net;657 Judith Crossroad;;;;;;
Hancockchester;" VI 75658-5788""";Linen;3.354.123.131.310.030;1.278.389.178.427.500;36.430.649.621.049.300;4.648.199.316.428.600;6.198.956.398.616.360
heatherhall@yahoo.com;8522 Regina Port Suite 782;;;;;;
Port Kaitlin;" TX 50501-7264""";MediumSlateBlue;3.233.598.963.740.770;13.007.819.424.388.500;3.785.177.916.943.600;2.996.364.526.268.530;48.683.893.476.506.200
tinasmith@martinez.info;40000 Ann Port Suite 474;;;;;;
Youngberg;" MS 03651""";LemonChiffon;3.311.020.505.771.770;11.982.044.994.015.600;3.529.308.775.436.050;39.234.887.455.274.300;529.537.665.336.851
chasejennifer@hotmail.com;9507 Robert Prairie Apt. 601;;;;;;
East Crystalview;" SC 56814""";DarkOrchid;3.310.543.794.246.840;11.965.020.002.997.800;3.727.781.174.207.210;4.742.577.519.573.310;5.547.220.838.330.760
jenniferbarnett@gmail.com;0772 Michael Isle Suite 617;;;;;;
Meyerstown;" WA 45449-6768""";SeaGreen;3.324.190.043.446.120;12.305.417.813.429.400;3.616.364.817.104.460;3.062.368.145.311.680;49.758.667.130.044.000
jared39@hotmail.com;739 David Isle Suite 818;;;;;;
Chandlertown;" DC 34587""";SteelBlue;3.346.105.629.551.830;10.869.163.814.130.300;3.562.244.242.064.540;3.471.413.452.477.670;4.476.879.065.360.580
briancarlson@page-fleming.com;USCGC Gill;;;;;;
"FPO AA 26496""";DarkMagenta;32.175.501.237.949.300;13.387.492.105.579.600;3.569.417.498.569.780;4.343.062.915.388.990;5.887.126.055.095.750;
joshuaodom@gmail.com;5277 Patel Brook;;;;;;
East Audrey;" NJ 19075""";DarkGoldenRod;3.272.836.000.313.370;13.104.507.242.875.800;38.878.040.506.759.800;28.200.972.339.734.600;49.107.322.367.951.900
vickie90@lee-wilson.com;9135 Rodriguez Dam;;;;;;
Ramirezberg;" MS 77223""";DarkSeaGreen;3.282.030.994.541.530;11.634.893.252.550.400;3.536.862.632.536.300;41.245.852.967.146.500;50.744.183.233.961.600
duane56@hotmail.com;24373 Mcgee Drive Apt. 990;;;;;;
New Mariahaven;" NH 14470""";Gainsboro;3.361.603.789.276.760;11.936.386.499.892.200;38.768.640.998.026.600;3.649.286.157.714.700;5.218.835.731.664.780
enash@gmail.com;997 Campbell Flat Suite 970;;;;;;
East Amanda;" PW 22048""";HotPink;31.721.652.360.509.000;1.175.502.370.305.380;36.765.722.357.858.300;18.473.704.233.395.000;3.477.769.266.318.720
sandraharrison@bailey-gordon.net;7835 Rogers Roads;;;;;;
East Amberhaven;" MI 70835-2286""";LightSeaGreen;328.653.271.748.764;11.984.417.523.634.900;370.443.614.002.997;3.452.388.582.630.720;4.907.386.321.439.540
cunninghamwilliam@hotmail.com;4589 Dan Fords;;;;;;
Beasleyburgh;" ME 96590-8272""";HoneyDew;3.274.936.818.112.040;9.954.975.969.174.410;3.738.831.486.719.820;4.650.491.269.094.460;4.781.703.340.540.870
teresaallen@hill-leach.info;1958 Robert Bridge Apt. 250;;;;;;
Malloryland;" ID 03393-5336""";WhiteSmoke;3.256.723.048.027.510;12.489.013.215.743.600;3.637.147.981.406.850;422.243.622.534.277;5.378.461.952.695.950
rhonda96@little.org;2977 Perez Row;;;;;;
Lake Jack;" TN 45336-9436""";GhostWhite;3.207.054.622.092.540;11.733.106.220.383.400;3.753.429.101.112.120;4.671.275.460.906.250;5.327.517.875.818.360
lisacabrera@yahoo.com;9801 Thomas Pike Suite 058;;;;;;
Brandishire;" AK 88122-1314""";DarkSlateBlue;3.301.954.798.572.340;10.634.561.317.920.200;3.749.669.014.561.270;4.646.119.976.606.150;50.187.443.028.426.900
jasonrichardson@elliott.com;18372 Matthew Fork Suite 705;;;;;;
North Matthewmouth;" KY 99737""";Chocolate;3.379.203.907.501.620;12.507.525.374.016.000;3.714.286.198.458.450;4.214.495.086.037.860;5.911.971.781.805.900
hoovernicole@dorsey.net;69403 Hernandez Knolls;;;;;;
Marciashire;" DE 36417-5667""";HoneyDew;3.289.398.062.181.100;1.152.987.820.576.490;36.888.086.054.199.200;4.643.258.549.800.130;5.472.443.434.159.980
christopher20@gmail.com;USNV Fuller;;;;;;
